sample_count, ms, RAW_Acc X1[G], RAW_Acc Y1[G], RAW_Acc Z1[G], RAW_Gyro X1[deg/s], RAW_Gyro Y1[deg/s], RAW_Gyro Z1[deg/s], RAW_Acc X2[G], RAW_Acc Y2[G], RAW_Acc Z2[G], RAW_Gyro X2[deg/s], RAW_Gyro Y2[deg/s], RAW_Gyro Z2[deg/s], RAW_Acc X3[G], RAW_Acc Y3[G], RAW_Acc Z3[G], RAW_Gyro X3[deg/s], RAW_Gyro Y3[deg/s], RAW_Gyro Z3[deg/s], RAW_Acc X4[G], RAW_Acc Y4[G], RAW_Acc Z4[G], RAW_Gyro X4[deg/s], RAW_Gyro Y4[deg/s], RAW_Gyro Z4[deg/s]
119,237,-0.6452637,-0.12548828,0.8232422,987.6794,974.30536,5.2519083,0.104003906,-0.23925781,0.97680664,999.8626,996.8397,994.53436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,238,-0.6621094,-0.21704102,0.75390625,987.61835,974.4275,5.328244,0.123535156,-0.22680664,0.9477539,999.8168,996.87024,994.50385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,240,-0.69384766,-0.15258789,0.7434082,987.6336,974.44275,5.3435116,0.05834961,-0.17700195,0.95996094,999.8015,996.7939,994.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,242,-0.65478516,-0.13598633,0.7338867,987.6794,974.3359,5.2671757,0.11694336,-0.21948242,0.9802246,999.8015,996.8397,994.5496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,244,-0.70947266,-0.1484375,0.7836914,987.75574,974.1832,5.3129773,0.1015625,-0.24487305,0.9836426,999.64886,996.87024,994.58014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,246,-0.6821289,-0.15625,0.6843262,987.64886,974.1985,5.3587785,0.099365234,-0.25,0.97924805,999.542,996.8855,994.7023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,248,-0.6296387,-0.12207031,0.76953125,987.52673,974.24426,5.3435116,0.12890625,-0.23950195,0.921875,999.52673,996.8397,994.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,250,-0.625,-0.14331055,0.7927246,987.52673,974.1832,5.2824426,0.11352539,-0.23486328,0.9440918,999.41986,996.8855,994.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,252,-0.67089844,-0.14550781,0.71850586,987.5725,974.07635,5.3129773,0.14086914,-0.2397461,0.94262695,999.38934,996.9466,994.7939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,254,-0.62475586,-0.13183594,0.7524414,987.5115,974.0,5.29771,0.107666016,-0.24316406,0.94506836,999.35876,997.0229,994.73285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
